Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct,View
2026-02-09 14:30:00,412.964996,415.329987,407.290009,409.904999,10662546,,Initializing...,0,30 day
2026-02-09 15:30:00,418.665009,419.429993,412.700012,412.964996,6843367,,Initializing...,0,30 day
2026-02-09 16:30:00,420.529999,421.250000,417.970001,418.619995,5284227,,Initializing...,0,30 day
2026-02-09 17:30:00,418.349915,421.209900,417.700012,420.549988,3548082,,Initializing...,0,30 day
2026-02-09 18:30:00,420.169708,420.660004,417.709991,418.302307,3393895,418.1359253,Moderate Risk,0.025371,30 day
2026-02-09 19:30:00,420.119995,420.899994,419.407013,420.190002,3389590,419.566925,Moderate Risk,0.021753,30 day
2026-02-09 20:30:00,417.160004,420.420013,417.130096,420.079987,3183939,419.2659241,High Risk,0.015283,30 day
2026-02-10 14:30:00,423.341614,425.459991,417.000000,418.089996,10943175,419.8282471,Moderate Risk,0.028948,30 day
2026-02-10 15:30:00,421.734985,425.420013,420.712708,423.339996,6615508,420.5052612,Moderate Risk,0.023392,30 day
2026-02-10 16:30:00,424.934998,427.250000,421.059998,421.709991,6045525,421.4583191,Moderate Risk,0.028826,30 day
2026-02-10 17:30:00,423.320007,426.114990,423.149994,424.880005,4257452,422.0983215,Moderate Risk,0.023362,30 day
2026-02-10 18:30:00,425.039886,425.100006,422.350098,423.290009,3627992,423.6742981,Moderate Risk,0.023697,30 day
2026-02-10 19:30:00,424.450012,426.369995,423.660004,425.059998,3877717,423.8959778,Moderate Risk,0.021742,30 day
2026-02-10 20:30:00,425.220001,427.200012,423.816986,424.410004,4465243,424.592981,Moderate Risk,0.021915,30 day
2026-02-11 14:30:00,421.720001,436.350006,421.549988,427.954987,14480611,423.9499817,High Risk,0.015041,30 day
2026-02-11 15:30:00,426.404999,427.069397,420.029999,421.682312,7864759,424.56698,Moderate Risk,0.024826,30 day
2026-02-11 16:30:00,424.759888,426.670013,422.059998,426.410004,5055253,424.5109802,Moderate Risk,0.021006,30 day
2026-02-11 17:30:00,424.744995,426.179993,422.119995,424.760010,4016085,424.5699768,Moderate Risk,0.020829,30 day
2026-02-11 18:30:00,427.559998,427.730011,423.619995,424.720001,3807995,425.0379761,Moderate Risk,0.026463,30 day
2026-02-11 19:30:00,425.859985,427.649902,425.640015,427.519989,3215486,425.8659729,Moderate Risk,0.020394,30 day
2026-02-11 20:30:00,428.149994,429.100006,425.459991,425.820007,3100922,426.2149719,Moderate Risk,0.025041,30 day
2026-02-12 14:30:00,429.670013,436.230011,426.130005,430.350006,11620453,427.1969971,Moderate Risk,0.026315,30 day
2026-02-12 15:30:00,419.410004,430.489990,419.279999,429.779999,7175428,426.1299988,High Risk,0.004317,30 day
2026-02-12 16:30:00,418.109802,421.409912,417.119995,419.404999,6221291,424.2399597,High Risk,0.005664,30 day
2026-02-12 17:30:00,416.790009,420.100006,414.000000,418.065002,4974259,422.4259644,High Risk,0.006794,30 day
2026-02-12 18:30:00,414.662506,417.869995,414.250092,416.799988,3857610,419.7284668,High Risk,0.008092,30 day
2026-02-12 19:30:00,414.802795,416.850006,414.540009,414.630005,3571749,416.7550232,High Risk,0.015628,30 day
2026-02-12 20:30:00,416.839996,417.420013,414.549988,414.709991,3513182,416.2410217,Moderate Risk,0.021877,30 day
2026-02-13 14:30:00,416.105011,417.700012,410.880005,414.140015,9931507,415.8400635,Moderate Risk,0.021058,30 day
2026-02-13 15:30:00,417.929993,418.369995,412.380005,416.105011,6179923,416.0680603,Moderate Risk,0.024975,30 day
2026-02-13 16:30:00,420.420013,420.940002,416.446808,417.915009,4750659,417.2195618,Moderate Risk,0.028236,30 day
2026-02-13 17:30:00,420.579803,421.329987,418.809998,420.480011,3564757,418.3749634,Moderate Risk,0.025786,30 day
2026-02-13 18:30:00,420.519989,424.059998,420.299988,420.700012,4358821,419.1109619,Moderate Risk,0.023839,30 day
2026-02-13 19:30:00,417.609985,421.859894,417.209991,420.630005,3900214,419.4119568,High Risk,0.016024,30 day
2026-02-13 20:30:00,417.420013,418.589996,416.519989,417.569885,2855438,419.3099609,High Risk,0.015809,30 day
2026-02-17 14:30:00,401.325012,413.690002,400.929993,412.402008,12373622,415.4909607,High Risk,-0.014382,30 day
2026-02-17 15:30:00,408.174988,409.640015,400.510010,401.325104,7547922,413.0099976,High Risk,0.008462,30 day
2026-02-17 16:30:00,406.630005,408.589996,404.829987,408.184998,5100846,410.2320007,High Risk,0.011449,30 day
2026-02-17 17:30:00,409.420013,410.309998,403.420013,406.635010,5065104,408.5940063,Moderate Risk,0.022471,30 day
2026-02-17 18:30:00,411.399994,413.169891,408.790100,409.437988,5014738,407.3900024,Low Risk,0.030452,30 day
2026-02-17 19:30:00,410.559906,412.830994,409.711395,411.420013,3604573,409.2369812,Moderate Risk,0.023707,30 day
2026-02-17 20:30:00,410.589996,411.880005,409.640015,410.470001,2992308,409.7199829,Moderate Risk,0.022575,30 day
2026-02-18 14:30:00,413.269989,415.670013,409.579987,410.670013,9006050,411.0479797,Moderate Risk,0.025924,30 day
2026-02-18 15:30:00,414.380005,416.320007,411.589996,413.269897,5830830,412.039978,Moderate Risk,0.026203,30 day
2026-02-18 16:30:00,415.214996,416.149994,413.760010,414.410004,3667109,412.8029785,Moderate Risk,0.026370,30 day
2026-02-18 17:30:00,413.929993,416.899994,413.429993,415.179993,3606640,413.4769958,Moderate Risk,0.021526,30 day
2026-02-18 18:30:00,412.600006,414.209900,412.500000,413.929993,3525168,413.8789978,High Risk,0.017255,30 day
2026-02-18 19:30:00,410.679993,412.839996,409.900085,412.600006,4436796,413.3609985,High Risk,0.013790,30 day
2026-02-18 20:30:00,411.200012,412.121002,410.410004,410.619995,2953314,412.725,High Risk,0.016638,30 day
2026-02-19 14:30:00,408.690002,410.660004,404.109985,407.333496,9061292,411.4200012,High Risk,0.013637,30 day
2026-02-19 15:30:00,413.850006,414.980011,408.459991,408.690002,6692320,411.4040039,Moderate Risk,0.026475,30 day
2026-02-19 16:30:00,413.744995,415.249908,411.940002,413.859985,4738635,411.6330017,Moderate Risk,0.025644,30 day
2026-02-19 17:30:00,409.775085,413.809998,408.579987,413.744995,5285290,411.4520203,High Risk,0.016249,30 day
2026-02-19 18:30:00,409.774994,411.170013,408.670013,409.769989,3690433,411.1670166,High Risk,0.016954,30 day
2026-02-19 19:30:00,409.970001,411.369995,408.519989,409.760010,3219928,411.4230164,High Risk,0.016804,30 day
2026-02-19 20:30:00,411.721191,411.899994,409.760010,409.940002,2412396,410.9972534,Moderate Risk,0.022206,30 day
2026-02-20 14:30:00,409.809906,413.239899,405.500000,408.285004,10757721,410.2102356,High Risk,0.019412,30 day
2026-02-20 15:30:00,409.397308,414.700012,408.600006,409.809998,6659915,410.1346802,High Risk,0.018574,30 day
2026-02-20 16:30:00,407.410004,411.489990,405.890015,409.380005,5189482,409.6616821,High Risk,0.014800,30 day
2026-02-20 17:30:00,409.359985,410.850006,406.390015,407.440002,5440903,409.539679,High Risk,0.019960,30 day
2026-02-20 18:30:00,411.079987,413.760010,408.660004,409.387604,4599772,409.411438,Moderate Risk,0.024567,30 day
2026-02-20 19:30:00,409.790009,411.589996,409.529999,411.109985,3411540,409.4074585,Moderate Risk,0.021362,30 day
2026-02-20 20:30:00,411.709991,412.239990,409.670013,409.785004,2596449,409.8699951,Moderate Risk,0.024989,30 day
2026-02-23 14:30:00,403.380005,407.700012,402.000000,407.285004,10591210,409.0639954,High Risk,0.006229,30 day
2026-02-23 15:30:00,397.970001,404.070007,396.619995,403.399994,8461994,406.7859985,High Risk,-0.001706,30 day
2026-02-23 16:30:00,397.420013,399.269897,397.390015,397.989990,4886095,404.0540039,High Risk,0.003655,30 day
2026-02-23 17:30:00,396.040009,397.459991,394.239990,397.410095,6773472,401.3040039,High Risk,0.007023,30 day
