Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct
2/18/2026 18:30,412.6000061,414.2098999,412.5,413.929993,3525168,413.878998,High Risk,0.017255
2/18/2026 19:30,410.6799927,412.8399963,409.9000855,412.600006,4436796,413.360999,High Risk,0.01379
2/18/2026 20:30,411.2000122,412.1210022,410.4100037,410.619995,2953314,412.725,High Risk,0.016638
2/19/2026 14:30,408.6900024,410.6600037,404.1099854,407.333496,9061292,411.420001,High Risk,0.013637
2/19/2026 15:30,413.8500061,414.980011,408.4599915,408.690002,6692320,411.404004,Moderate Risk,0.026475
2/19/2026 16:30,413.7449951,415.2499085,411.9400024,413.859985,4738635,411.633002,Moderate Risk,0.025644
2/19/2026 17:30,409.7750855,413.8099976,408.5799866,413.744995,5285290,411.45202,High Risk,0.016249
2/19/2026 18:30,409.7749939,411.1700134,408.6700134,409.769989,3690433,411.167017,High Risk,0.016954
2/19/2026 19:30,409.9700012,411.3699951,408.519989,409.76001,3219928,411.423016,High Risk,0.016804
2/19/2026 20:30,411.7211914,411.8999939,409.7600098,409.940002,2412396,410.997253,Moderate Risk,0.022206
2/20/2026 14:30,409.809906,413.2398987,405.5,408.285004,10757721,410.210236,High Risk,0.019412
2/20/2026 15:30,409.3973084,414.7000122,408.6000061,409.809998,6659915,410.13468,High Risk,0.018574
2/20/2026 16:30,407.4100037,411.4899902,405.8900147,409.380005,5189482,409.661682,High Risk,0.0148
2/20/2026 17:30,409.3599854,410.8500061,406.3900147,407.440002,5440903,409.539679,High Risk,0.01996
2/20/2026 18:30,411.0799866,413.7600098,408.6600037,409.387604,4599772,409.411438,Moderate Risk,0.024567
2/20/2026 19:30,409.7900085,411.5899963,409.5299988,411.109985,3411540,409.407458,Moderate Risk,0.021362
2/20/2026 20:30,411.7099915,412.2399902,409.6700134,409.785004,2596449,409.869995,Moderate Risk,0.024989
2/23/2026 14:30,403.3800049,407.7000122,402,407.285004,10591210,409.063995,High Risk,0.006229
2/23/2026 15:30,397.9700012,404.0700073,396.6199951,403.399994,8461994,406.785999,High Risk,-0.001706
2/23/2026 16:30,397.4200134,399.2698975,397.3900147,397.98999,4886095,404.054004,High Risk,0.003655
2/23/2026 17:30,396.0400085,397.4599915,394.2399902,397.410095,6773472,401.304004,High Risk,0.007023
2/23/2026 18:30,394.394989,396.3599854,394.1700134,396.059998,4394057,397.841003,High Risk,0.01157
2/23/2026 19:30,395.531189,396.0299988,394.0400085,394.395111,4861633,396.27124,High Risk,0.018503
2/23/2026 20:30,399.8500061,400,395.4500122,395.529999,6059604,396.647241,Moderate Risk,0.028648
2/24/2026 14:30,407.4450073,407.5400085,397.6400147,399.549988,11029900,398.65224,Low Risk,0.042915
